Adsorbate 1,Adsorbate 2,Gco DFT,Gc-c_Final,Gc-c_Final,Gc-c_Final,Gc-c_Final,Gc-c_Final,Averaged Gco
NH2,NH3,,0.163410351,0.184804901,0.122311033,0.105801649,0.053523548,0.125970297
NH2,C,0.22439,0.22439,0.22439,0.22439,0.22439,0.22439,0.22439
NH2,CH,,0.046703659,0.036460537,0.06195531,0.098292783,0.046939008,0.05807026
NH2,CH2,,0.06342911,0.080943786,0.095374905,0.095830575,0.060018588,0.079119392
NH2,CH3,,0.15142265,0.17872408,0.151622504,0.130750597,0.063207634,0.135145493
NH2,S,0.18156,0.18156,0.18156,0.18156,0.18156,0.18156,0.18156
NH2,SH,,0.225191593,0.194134131,0.201565951,0.237192526,0.202501088,0.212117058
NH2,SH2,,0.224812612,0.164016232,0.222034991,0.18624346,0.208656266,0.201152712
NH2,F,,0.317510813,0.348095983,0.339872152,0.321902573,0.29715088,0.32490648
NH2,Cl,,0.37592712,0.348191649,0.340003908,0.305354536,0.326214999,0.339138442
NH2,Br,,0.266229242,0.249593869,0.242918819,0.231944725,0.268149406,0.251767212
NH2,I,,0.265692145,0.28741169,0.282364368,0.250508308,0.286244214,0.274444145
NH3,O,,0.374503076,0.333311498,0.311802834,0.347015113,0.280802757,0.329487056
NH3,OH,0.11222,0.11222,0.11222,0.11222,0.11222,0.11222,0.11222
NH3,N,,0.201402441,0.199989527,0.235454336,0.189154521,0.164003283,0.198000821
NH3,NH,,0.156198636,0.169088066,0.132354349,0.152189612,0.126584381,0.147283009
NH3,NH2,,0.156139478,0.143524632,0.160061866,0.179111823,0.127238289,0.153215218
NH3,NH3,,0.188093364,0.16673559,0.10439112,0.113530949,0.057128791,0.125975963
NH3,C,0.23421,0.23421,0.23421,0.23421,0.23421,0.23421,0.23421
NH3,CH,,0.059923682,0.113355465,0.123578317,0.087817036,0.100747176,0.097084335
NH3,CH2,,0.181047484,0.215651214,0.145273253,0.155947804,0.148227692,0.16922949
NH3,CH3,,0.180547699,0.169563532,0.160061866,0.149521127,0.129541934,0.157847232
NH3,S,,0.319904566,0.295337379,0.232572541,0.280965298,0.238632992,0.273482555
NH3,SH,,0.221437499,0.185978264,0.182769135,0.217108727,0.1904625,0.199551225
NH3,SH2,,0.216618344,0.15508458,0.183044493,0.156517386,0.186130747,0.17947911
NH3,F,,0.359497428,0.354268759,0.327134907,0.338845402,0.320690215,0.340087342
NH3,Cl,,0.283898652,0.238140315,0.243157253,0.244946435,0.257909328,0.253610396
NH3,Br,,0.25513941,0.225663215,0.237035185,0.214529008,0.256964296,0.237866223
NH3,I,,0.255171627,0.235653698,0.226374283,0.23880592,0.264463127,0.244093731
C,O,,0.011201436,0.070007615,0.054962184,0.074520625,0.10685879,0.06351013
C,OH,0.16197,0.16197,0.16197,0.16197,0.16197,0.16197,0.16197
C,N,-0.04161,-0.04161,-0.04161,-0.04161,-0.04161,-0.04161,-0.04161
C,NH,,0.071805224,0.114916563,0.081626773,0.077752814,0.141547278,0.09752973
C,NH2,0.22439,0.22439,0.22439,0.22439,0.22439,0.22439,0.22439
C,NH3,0.23421,0.23421,0.23421,0.23421,0.23421,0.23421,0.23421
C,C,-0.15508801,-0.15508801,-0.15508801,-0.15508801,-0.15508801,-0.15508801,-0.15508801
C,CH,,0.082170568,0.051735908,0.079479411,0.003307484,0.082205869,0.059779848
C,CH2,,0.117011823,0.10625641,0.092888094,0.082322009,0.156941533,0.111083974
C,CH3,,0.235219896,0.19083567,0.182727903,0.246947035,0.213143617,0.213774824
C,S,,0.079646707,0.076794207,0.093239538,0.132183045,0.172338322,0.110840364
C,SH,,0.11685881,0.177918375,0.161980033,0.224239558,0.113219343,0.158843224
C,SH2,,0.180366769,0.21712175,0.215135351,0.221837997,0.187667385,0.204425851
C,F,,0.17119965,0.179415524,0.191569656,0.25164488,0.181533039,0.19507255
C,Cl,,0.14615953,0.17634137,0.20924297,0.217728853,0.141573817,0.178209308
C,Br,,0.122635894,0.184125662,0.18849799,0.236588761,0.186081424,0.183585946
C,I,,0.129300728,0.195845202,0.20076406,0.240751535,0.200631827,0.19345867
CH,O,,0.024274189,0.039318748,0.046234399,0.050297651,0.047867995,0.041598596
CH,OH,0.04689,0.04689,0.04689,0.04689,0.04689,0.04689,0.04689
CH,N,,0.046842568,0.05480523,0.12800169,0.10028442,0.197590455,0.105504873
CH,NH,0.00813,0.00813,0.00813,0.00813,0.00813,0.00813,0.00813
CH,NH2,,0.001415588,0.043187041,0.018466813,-0.008390741,0.017382765,0.014412293
CH,NH3,,0.155929714,0.153303295,0.122428961,0.158465356,0.141778961,0.146381257
CH,C,,0.081653312,0.066478185,0.129390955,0.079328731,0.159877017,0.10334564
CH,CH,,0.00246557,0.023853948,0.079270415,0.071903266,0.029003642,0.041299368
CH,CH2,,0.024185801,0.045073841,0.046670333,0.064572841,0.027053822,0.041511327
CH,CH3,,0.010415736,0.071415566,0.121426448,0.067505166,0.146930084,0.0835386
CH,S,,0.066810206,0.072807148,0.079985157,0.076360956,0.094390452,0.078070784
CH,SH,0.04467,0.04467,0.04467,0.04467,0.04467,0.04467,0.04467
CH,SH2,,0.170430928,0.116688304,0.187868133,0.183070302,0.112322651,0.154076064
CH,F,0.02152,0.02152,0.02152,0.02152,0.02152,0.02152,0.02152
CH,Cl,0.10368,0.10368,0.10368,0.10368,0.10368,0.10368,0.10368
